"AOSNUMBER","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS0083","Bakersfield","Kern County","CA","Bakersfield Police Department","Police","Bakersfield Police Department has been using Shotspotter gunshot detection technology since March 2018. The initial two-year contract was paid for with a $450,000 Project Safe Neighborhood Grant,. ","Municipal","Gunshot Detection","ShotSpotter","https://bakersfieldnow.com/news/local/is-shotspotter-working-in-bakersfield","","Eyewitness News","","11/20/18","https://www.govtech.com/public-safety/Bakersfield-Calif-Approves-Gunshot-Detection-Tech.html","","Government Technology","","01/11/18","https://bakersfieldnow.com/news/local/is-shotspotter-working-in-bakersfield","","FOX Bakersfield Now","","11/20/18",""
"AOS0108","Rio Dell","Humboldt County","CA","Rio Dell Police Department","Police","The Rio Dell Police Department began using Axon body-worn cameras in 2015","Municipal","Body-worn Cameras","Axon","https://www.times-standard.com/2017/07/27/humboldt-county-police-body-cameras-in-the-future-for-some-now-for-others/","","The Times-Standard","","07/27/2017","https://www.northcoastjournal.com/humboldt/camera-questions/Content?oid=2846197","","North Cast Journal of Politics, People & Art","","03/19/2015","https://www.times-standard.com/2018/10/04/body-cam-law-will-impact-local-police-departments/","","The Times-Standard","","10/04/2018",""
"AOS0113","Brea","Orange County","CA","Brea Police Department","Police","As of 2016, the Brea Police Department spent $9,000 each year on PredPol (now Geolitica) predictive policing software. ","Municipal","Predictive Policing","Geolitica ","https://agenda.ci.brea.ca.us/print_all.cfm?seq=209&reloaded=true&id=","","Brea County ","","04/12/2016","https://agenda.ci.brea.ca.us/docs/2015/CC/20150203_16/16_02-03-15%20CC%20SA%20Agenda%20packet%20%28weblinks%29.pdf","","Meeting agenda/minutes/budgeting document","","2/3/2015","","","","","",""
"AOS0125","Eureka","Humboldt County","CA","Humboldt County Sheriff's Office","Sheriff","The Humboldt County Sheriff's Office signed a $91,000 contract with Axon in 2019 to equip all corrections officers with body-worn cameras.","County","Body-worn Cameras","Axon","https://www.times-standard.com/2019/06/22/safety-are-what-the-cameras-are-all-about-corrections-deputies-now-wear-body-cams-on-duty/","","The Times-Standard","","06/22/2019","https://lostcoastoutpost.com/2019/jun/21/hccf-rolls-out-new-body-worn-camera-program/","","Lost Coast Outpost","","06/21/2019","https://kiem-tv.com/2019/06/21/humboldt-county-sherriffs-office-introduces-body-cameras-for-correctional-officers/","","KIEM TV Website","","06/21/2019",""
"AOS0126","Tracy","San Joaquin County","CA","Tracy Police Department","Police","Tracy Police Department have been been using predictive policing since at least 2015. In 2018, the city of Tracy paid PredPol (now Geolitica) $44,000 for the software. ","Municipal","Predictive Policing","Geolitica","http://www.ttownmedia.com/tracy_press/news/police-tactics-driven-by-data/article_7e625e44-da39-11e4-8675-975f95f1c147.html","","Tracy Press","","03/04/2015","https://www.ci.tracy.ca.us/documents/August_2018_Check_Register.pdf","","City of Tracy","","9/4/2018","","","","","",""
"AOS0128","Los Angeles","Los Angeles County","CA","Los Angeles County Sheriff's Department","Sheriff","As of 2018, the Los Angeles County Sheriff's Department uses NEC face recognition technology. Previously, the agency had used DataWorks' face recognition system. ","County","Face Recognition","DataWorks Plus","https://www.activistpost.com/2018/03/los-angeles-facial-recognition-program.html","","ActivistPost","","03/21/2018","https://www.necam.com/newsroom/pressannouncements/2018announcements/LosAngelesCountySheriffDepartment/","","NEC","","3/15/2018","https://www.revealnews.org/article/los-angeles-sheriff-invests-in-new-tech-to-expand-biometric-database/","","Reveal News","","07/03/2015",""
"AOS0145","San Pablo","Contra Costa County","CA","San Pablo Police Department","Police","The San Pablo Police Department have been using ShotSpotter since 2011.","Municipal","Gunshot Detection","ShotSpotter","https://www.shotspotter.com/wp-content/uploads/2018/09/114SST-San-Pablo-case-study-v3.pdf","","ShotSpotter","","2018","","","","","","","","","","",""
"AOS0147","Stockton","San Joaquin County","CA","Stockton Police Department","Police","The Stockton Police Department has been using Shotspotter gunshot detection technology since 2013. ","Municipal","Gunshot Detection","ShotSpotter","https://sacramento.cbslocal.com/2019/01/01/stockton-police-using-shotspotter-technology-to-locate-new-years-eve-gunfire/","","CBS Sacramento","","01/01/2019","https://www.businesswire.com/news/home/20131210006529/en/Stockton-CA-Police-Department-Announces-ShotSpotter-Gunfire","","BusinessWire","","12/10/2013","https://www.recordnet.com/article/20140531/a_news/405310319","","Recordnet","","05/31/2014",""
"AOS0148","Oxnard","Ventura County","CA","Oxnard Police Department","Police","The Oxnard Police Department have used body-worn cameras since 2016. In September 2019, the department ordered 200 of the newest generation of Axon BWCs.","Municipal","Body-worn Cameras","Axon","https://www.vcstar.com/story/news/2018/03/21/oxnard-approves-additional-body-cameras-police-plans-new-rose-avenu-traffic-light/435841002/","","VC Star","","03/21/2018","https://investor.axon.com/press-releases/press-release-details/2019/Axon-Now-Shipping-Axon-Body-3-First-Connected-Camera-with-Real-time-Situational-Awareness/default.aspx","","Axon","","09/23/2019","","","","","",""
"AOS0149","Auburn","Placer County","CA","Placer County Sheriff's Office","Sheriff","The Placer County Sheriff's Office has been using DataWorks face recognition technology since at least 2011.  ","County","Face Recognition","DataWorks Plus","https://www.placer.ca.gov/DocumentCenter/View/18570/09F-PDF","","County of Placer","","2/6/2018","County of Placer","","","","7/12/2011","","","","","",""
